N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1254|* mu.02 Sco                        |V* |16 52 20.1453198 -38 01 03.125839      | 2.52 | 3.343| 3.542|     ~|     ~|B2IV                 | 128 |   0
1255|* bet Gem                          |PM*|07 45 18.94987 +28 01 34.3160          | 3.00 | 2.14 | 1.14 | 0.39 |-0.11 |K0IIIb               |1048 |   1
1256|NGC 6231                           |OpC|16 54 08.51 -41 49 36.0                |     ~| 2.83 | 2.6  |     ~|     ~|~                    | 487 |   0
1257|* alf Com A                        |PM*|13 09 59.285492 +17 31 45.85645        |     ~| 5.25 | 4.80 |     ~|     ~|F5V                  | 235 |   0
1258|HD 114837                          |PM*|13 14 15.1459391643 -59 06 11.652757891| 5.35 | 5.41 | 4.93 | 4.48 | 8.83 |F6VFe-0.4            | 115 |   0
1259|* phi Cas                          |s*y|01 20 04.9146181556 +58 13 53.812633124| 6.15 | 5.66 | 4.98 | 4.34 | 3.78 |F0Ia                 | 254 |   0
1260|* e Lup                            |SB*|15 12 49.5868237 -44 30 01.485338      | 3.98 | 4.638| 4.806|     ~|     ~|B3IV/V               |  69 |   0
1261|* Q Car                            |V* |07 35 39.7226605560 -52 32 01.808701666|     ~| 6.318| 4.920|     ~|     ~|K3III                |  31 |   0
1262|V* R Hya                           |Mi*|13 29 42.7818674 -23 16 52.774679      | 7.26 | 6.58 | 4.97 | 2.27 |-0.15 |M6-9e                | 461 |   0
1263|HD 91496                           |V* |10 31 02.0573734188 -73 13 17.376781379|     ~| 6.588| 4.920|     ~|     ~|K4/5III              |  18 |   0
1264|* del Lup                          |bC*|15 21 22.3252367778 -40 38 51.022228791| 2.12 | 2.995| 3.190|     ~|     ~|B1.5IV               | 201 |   0
1265|* lam Mus                          |PM*|11 45 36.4191583 -66 43 43.543945      | 3.96 | 3.81 | 3.65 | 3.51 | 3.43 |A7V                  |  79 |   0
1266|* alf Leo                          |PM*|10 08 22.31099 +11 58 01.9516          | 0.88 | 1.24 | 1.40 | 1.37 | 1.47 |B8IVn                | 807 |   0
1267|* eta Sct                          |PM*|18 57 03.6702664576 -05 50 46.730466051|     ~| 5.904| 4.818|     ~|     ~|K1-III               |  92 |   0
1268|* gam01 Vel                        |SB*|08 09 29.3182203760 -47 20 43.034677104|     ~| 3.995| 4.173|     ~|     ~|B2III                | 143 |   0
1269|* tet Vir                          |** |13 09 56.9843568248 -05 32 20.465727623|     ~| 4.385| 4.397|     ~|     ~|A1IVs                | 242 |   0
1270|* B Cen                            |PM*|11 51 08.6914879300 -45 10 24.488999847| 7.22 | 5.76 | 4.46 | 3.52 | 2.85 |K3III                |  72 |   0
1271|* eps Col                          |*  |05 31 12.7489930993 -35 28 13.860468229| 6.09 | 5.01 | 3.87 | 3.05 | 2.45 |K1II/III             |  43 |   0
1272|* bet Cep                          |bC*|21 28 39.5968513 +70 33 38.574681      | 2.05 | 3.01 | 3.23 | 3.33 | 3.55 |B0.5IIIs             | 684 |   0
1273|* 72 Leo                           |LP*|11 15 12.2270876 +23 05 43.837288      | 8.14 | 6.29 | 4.63 | 3.07 | 1.76 |M3IIb:               | 106 |   0
1274|* zet Tuc                          |PM*|00 20 04.2599713 -64 52 29.254760      | 4.82 | 4.80 | 4.23 | 3.73 | 3.40 |F9.5V                | 344 |   0
1275|* mu. Leo                          |PM*|09 52 45.8165435 +26 00 25.031882      | 6.50 | 5.10 | 3.88 | 2.97 | 2.39 |K2IIIbCN1Ca1         | 402 |   0
1276|* r Vel                            |PM*|10 22 19.5847748691 -41 38 59.859181660| 7.04 | 5.95 | 4.83 | 4.03 | 3.45 |K1III                |  45 |   0
1277|* f Sgr                            |PM*|19 46 21.7391148 -19 45 40.013220      |     ~| 5.930| 4.873|     ~|     ~|K0+III               |  62 |   0
1278|* nu. Psc                          |*  |01 41 25.8939097 +05 29 15.406225      | 7.36 | 5.81 | 4.44 | 3.38 | 2.67 |K3III                | 223 |   0
1279|* zet UMi                          |V* |15 44 03.5189152 +77 47 40.178845      |     ~| 4.316| 4.274|     ~|     ~|A3Vn                 |  47 |   0
1280|* rho Vir                          |dS*|12 41 53.0567802922 +10 14 08.229084878| 5.00 | 4.97 | 4.88 | 4.80 | 4.78 |A0Va_lB              | 209 |   0
1281|* ups UMa                          |dS*|09 50 59.3569995 +59 02 19.448566      | 4.19 | 4.10 | 3.81 | 3.47 | 3.31 |F0                   | 186 |   0
1282|* zet Dor                          |PM*|05 05 30.6561782324 -57 28 21.728931803|     ~| 5.215| 4.708|     ~|     ~|F9VFe-0.5            | 215 |   0
1283|* 24 Sco                           |*  |16 41 34.3840737202 -17 44 31.804671164|     ~| 5.994| 4.923|     ~|     ~|G7.5II-IIICN1Ba0.5   |  87 |   0
1284|NGC 1981                           |OpC|05 35 09.0 -04 25 54                   |     ~|     ~| 4.2  |     ~|     ~|~                    |  72 |   0
1285|* eta Hya                          |bC*|08 43 13.4749927 +03 23 55.186711      | 3.380| 4.100| 4.300| 4.37 | 4.56 |B3V                  | 384 |   0
1286|* eps Tuc                          |Be*|23 59 54.9776152 -65 34 37.680366      | 4.12 | 4.38 | 4.47 | 4.45 | 4.49 |B8V                  | 127 |   0
1287|* tau Per                          |Al*|02 54 15.4684102508 +52 45 44.885218477| 5.17 | 4.71 | 3.96 | 3.33 | 2.89 |G8III+A7V            | 156 |   0
1288|* gam Lib                          |** |15 35 31.5788082 -14 47 22.327851      | 5.67 | 4.93 | 3.91 | 3.20 | 2.65 |G8.5III              | 141 |   0
1289|* 37 Com                           |RS*|13 00 16.4672517487 +30 47 06.064425348|     ~| 6.02 | 4.88 |     ~|     ~|G9IIICH-2CN-1        | 150 |   0
1290|* gam02 Ari                        |PM*|01 53 31.8118643437 +19 17 37.882581778|     ~| 4.49 | 4.52 |     ~|     ~|A2IVpSiSrCr          | 152 |   0
1291|* L Car                            |*  |10 22 58.1460612 -66 54 05.390302      | 4.35 | 4.86 | 4.99 |     ~|     ~|B8V                  |  99 |   0
1292|* 78 UMa                           |** |13 00 43.69949 +56 21 58.8102          |     ~| 5.29 | 4.93 |     ~|     ~|F2V                  | 264 |   1
1293|* i Lup                            |*  |15 14 37.3210410015 -31 31 08.843368128|     ~| 5.273| 4.918|     ~|     ~|F3III                |  94 |   0
1294|* sig Gem                          |RS*|07 43 18.7269793 +28 53 00.642191      | 6.38 | 5.41 | 4.29 | 3.37 | 2.79 |K1IIIe               | 444 |   0
1295|* nu. Cen                          |SB*|13 49 30.2764388 -41 41 15.752069      | 2.31 | 3.188| 3.386|     ~|     ~|B2IV                 | 180 |   0
1296|* iot And                          |*  |23 38 08.2012983 +43 16 05.064880      | 3.90 | 4.18 | 4.29 | 4.29 | 4.38 |B8V                  | 152 |   0
1297|* zet01 Aqr                        |PM*|22 28 49.8864208040 -00 01 13.961900362|     ~| 4.89 | 4.49 |     ~|     ~|F2IV/V               | 129 |   0
1298|* kap Phe                          |PM*|00 26 12.2018266 -43 40 47.392917      | 4.22 | 4.11 | 3.94 | 3.78 | 3.70 |A5IVn                | 141 |   0
1299|* zet Per                          |V* |03 54 07.9224751 +31 53 01.081262      | 2.19 | 2.97 | 2.85 | 2.71 | 2.62 |B1Ib                 | 814 |   0
1300|* b Ori                            |PM*|05 42 28.6323987683 +01 28 28.671374058| 7.13 | 6.07 | 4.90 | 4.02 | 3.41 |K1III                | 134 |   0
1301|HD 125442                          |PM*|14 20 42.5807142899 -45 11 13.418961827| 5.14 | 5.08 | 4.77 |     ~|     ~|F0IV                 |  30 |   0
1302|* i Sco                            |*iN|16 30 12.4751393 -25 06 54.804270      | 3.93 | 4.72 | 4.79 | 4.85 | 4.99 |B3V                  | 283 |   1
1303|* alf Aur                          |SB*|05 16 41.35871 +45 59 52.7693          | 1.33 | 0.88 | 0.08 |-0.52 |-0.96 |G3III:               |1139 |   0
1304|* tau01 Lup                        |bC*|14 26 08.2242382 -45 13 17.131532      | 3.68 | 4.393| 4.553|     ~|     ~|B2IV                 | 141 |   0
1305|* mu. Ori A                        |SB*|06 02 22.996728 +09 38 50.23790        | 4.56 | 4.43 | 4.30 | 4.15 | 4.09 |A1Vm                 |  25 |   0
1306|HD 192685                          |Be*|20 15 15.8954222 +25 35 31.054895      |     ~| 4.584| 4.753|     ~|     ~|B3V                  | 132 |   0
1307|* alf Ant                          |PM*|10 27 09.1031293596 -31 04 03.982994888| 7.33 | 5.70 | 4.25 | 3.15 | 2.36 |K3III                |  67 |   0
1308|* 21 Sgr                           |*  |18 25 21.0401802826 -20 32 30.052316056|     ~| 6.32 | 4.86 |     ~|     ~|K1/2III              |  52 |   0
1309|* 27 Psc                           |** |23 58 40.3770768 -03 33 21.537918      |     ~| 5.814| 4.886|     ~|     ~|G8III                |  96 |   0
1310|* c Tau                            |PM*|04 38 09.4616564927 +12 30 38.991822704| 4.52 | 4.39 | 4.27 | 4.13 | 4.08 |A6V                  | 175 |   0
1311|* nu. Peg                          |PM*|22 05 40.7513310188 +05 03 30.716345076| 8.08 | 6.28 | 4.84 | 3.77 | 3.01 |K4III                |  96 |   0
1312|* omi02 Ori                        |PM*|04 56 22.2761159 +13 30 52.093197      | 6.31 | 5.21 | 4.06 | 3.18 | 2.55 |K2-IIIb              | 111 |   0
1313|* rho Cen                          |*  |12 11 39.1280508829 -52 22 06.406712492| 3.20 | 3.81 | 3.96 | 4.05 | 4.21 |B3V                  | 119 |   0
1314|* a Pup                            |SB*|07 52 13.0312474984 -40 34 32.814693511|     ~| 4.717| 3.696|     ~|     ~|K1/2II+A             |  71 |   0
1315|* c Oph                            |Be*|17 31 24.9541340 -23 57 45.513592      | 4.75 | 4.81 | 4.81 | 4.74 | 4.72 |A0V                  | 255 |   0
1316|* gam Cet A                        |PM*|02 43 18.0411823985 +03 14 08.966925702|     ~| 3.617| 3.540|     ~|     ~|A2Vn                 |   4 |   0
1317|* 126 Tau                          |** |05 41 17.7176759 +16 32 02.925299      | 4.1  | 4.709| 4.836|     ~|     ~|B3IV                 | 156 |   0
1318|* mu. Vir                          |PM*|14 43 03.6228218 -05 39 29.532712      | 4.25 | 4.26 | 3.88 | 3.48 | 3.26 |F2V                  | 210 |   0
1319|C 0516+732                         |OpC|05 12 39.00 +73 58 29.0                |     ~|     ~| 4.2  |     ~|     ~|~                    |   4 |   0
1320|* chi Peg                          |PM*|00 14 36.1645107 +20 12 24.120523      | 8.280| 6.380| 4.800| 3.45 | 2.32 |M2+III               | 179 |   0
1321|* 72 Oph                           |PM*|18 07 20.9839294 +09 33 49.850100      | 3.95 | 3.85 | 3.73 | 3.59 | 3.54 |A5V                  | 131 |   0
1322|* 2 Lyn                            |EB*|06 19 37.3845795 +59 00 39.468274      |     ~| 4.462| 4.434|     ~| 4.40 |A2Vs                 | 132 |   0
1323|* 12 Per                           |SB*|02 42 14.9141607582 +40 11 38.181760490| 5.65 | 5.51 | 4.92 | 4.42 | 4.12 |F9V                  | 173 |   0
1324|* b Pup                            |SB*|07 52 38.6466250 -38 51 46.130467      | 3.61 | 4.301| 4.474|     ~|     ~|B2V                  | 105 |   0
1325|* alf Gru                          |PM*|22 08 13.98473 -46 57 39.5078          | 1.11 | 1.58 | 1.71 | 1.75 | 1.83 |B6V                  | 289 |   0
1326|* rho Per                          |LP*|03 05 10.59385 +38 50 24.9943          | 6.83 | 5.04 | 3.39 | 1.59 |-0.03 |M4+IIIa              | 307 |   0
1327|* ups PsA                          |*  |22 08 25.9313202 -34 02 37.824777      | 8.28 | 6.47 | 4.99 |     ~|     ~|K4III                |  35 |   0
1328|* ksi Sco B                        |PM*|16 04 22.1273592915 -11 22 22.663598296|     ~| 5.35 | 4.87 |     ~|     ~|F5V                  | 105 |   0
1329|* phi02 Lup                        |*  |15 23 09.3500506 -36 51 30.552048      | 3.77 | 4.39 | 4.54 | 4.60 | 4.74 |B4V                  | 121 |   0
1330|* eps Ori                          |s*b|05 36 12.81335 -01 12 06.9089          | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia                 | 858 |   0
1331|* eps Nor                          |SB*|16 27 11.0361094 -47 33 17.222561      |     ~| 4.439| 4.521|     ~|     ~|B2V                  |  60 |   0
1332|* alf Cnc                          |PM*|08 58 29.2106832115 +11 51 27.546169562|     ~| 4.388| 4.249|     ~| 4.13 |kA7VmF0/2III/IVSr    | 135 |   0
1333|* iot Car                          |V* |09 17 05.4068572 -59 16 30.835305      | 2.60 | 2.44 | 2.26 | 2.02 | 1.82 |A7Ib                 | 146 |   0
1334|V* RS Oph                          |No*|17 50 13.1592776879 -06 42 28.481553668|     ~|12.29 | 4.30 |     ~|     ~|OB+M2ep              | 925 |   0
1335|* bet Sct                          |SB*|18 47 10.4626934070 -04 44 52.363891614| 6.15 | 5.31 | 4.22 | 3.43 | 2.86 |G4IIa                | 179 |   0
1336|* pi. Eri                          |LP?|03 46 08.5365942237 -12 06 05.696910645| 8.05 | 6.04 | 4.42 | 3.08 | 2.03 |M1III                |  50 |   0
1337|* lam Pyx                          |PM*|09 23 12.2513165544 -28 50 01.878810428| 6.22 | 5.59 | 4.68 | 3.97 | 3.50 |G8.5IIIbFe-1         |  46 |   0
1338|* 27 Mon                           |PM*|07 59 44.1536824502 -03 40 46.501791759|     ~| 6.137| 4.934|     ~|     ~|K1III                |  77 |   0
1339|* zet And                          |RS*|00 47 20.3254696 +24 16 01.840851      | 6.05 | 5.18 | 4.06 | 3.21 | 2.62 |K1III+KV             | 270 |   0
1340|* gam Mic                          |*  |21 01 17.4604727 -32 15 27.957367      |     ~| 5.529| 4.654|     ~|     ~|G8III                |  78 |   0
1341|* ups02 Cen                        |SB*|14 01 43.5011816956 -45 36 12.135997292| 5.19 | 4.92 | 4.33 | 3.82 | 3.48 |F7II/III             |  51 |   0
1342|* k Per                            |PM*|03 05 32.4124981452 +56 42 20.584372303| 8.401| 5.794| 4.766|     ~|     ~|G9+IIIb              |  86 |   0
1343|* zet Hya                          |PM*|08 55 23.6261352 +05 56 44.035380      | 4.92 | 4.10 | 3.10 | 2.39 | 1.90 |G8.5III              | 228 |   0
1344|* iot Peg                          |SB*|22 07 00.6620572743 +25 20 42.376138495| 4.190| 4.200| 3.770| 3.36 | 3.11 |F5V                  | 421 |   1
1345|* lam Ara                          |PM*|17 40 23.8255179884 -49 24 56.104103575|     ~| 5.17 | 4.77 |     ~|     ~|F4V                  | 104 |   0
1346|HD 105382                          |Be*|12 08 05.2252130502 -50 39 40.576542564| 3.65 | 4.32 | 4.47 | 4.53 | 4.70 |B3/5III              | 150 |   0
1347|* ksi Psc                          |SB*|01 53 33.3598392960 +03 11 15.071378901|     ~| 5.552| 4.604|     ~|     ~|G8.5IIIb             | 110 |   0
1348|* f Per                            |SB*|04 14 53.3292389615 +40 29 01.197278808|     ~| 5.652| 4.691|     ~|     ~|G5II+A2V             |  85 |   0
1349|* G Sco                            |*  |17 49 51.4808134 -37 02 35.897520      | 5.57 | 4.38 | 3.21 |     ~|     ~|K2III                |  73 |   0
1350|* bet Oct                          |PM*|22 46 03.5109801 -81 22 53.811985      |     ~| 4.333| 4.128|     ~|     ~|A9IV/V               |  58 |   0
1351|* ksi UMa B                        |SB*|11 18 10.8360115405 +31 31 44.821690914|     ~| 5.41 | 4.77 | 4.4  |     ~|G2V                  | 328 |   1
1352|* lam Col                          |El*|05 53 06.8821752235 -33 48 04.900546885| 4.16 | 4.72 | 4.87 | 4.94 | 5.09 |B5V                  |  85 |   0
1353|* eta02 Hyi                        |PM*|01 54 56.1320498641 -67 38 50.294625663|     ~| 5.623| 4.685|     ~|     ~|G8IIIb               |  90 |   1
1354|* J Cen                            |** |13 22 37.9361222 -60 59 18.217786      | 3.81 | 4.369| 4.509|     ~|     ~|B3V                  |  96 |   0
1355|* bet Pic                          |PM*|05 47 17.0876901 -51 03 59.441135      | 4.13 | 4.03 | 3.86 | 3.74 | 3.58 |A6V                  |1663 |   1
1356|* lam Aur                          |PM*|05 19 08.4754630747 +40 05 56.589643877| 5.46 | 5.33 | 4.71 | 4.18 | 3.86 |G1.5IV-VFe-1         | 489 |   0
1357|* tet02 Tau                        |dS*|04 28 39.7445471109 +15 52 15.122606898| 3.690| 3.600| 3.410| 5.43 |     ~|A7III                | 417 |   0
1358|* sig Ori                          |Y*O|05 38 44.7665260139 -02 36 00.284709290| 2.54 | 3.58 | 3.79 | 3.87 | 4.11 |O9.5V                | 742 |   0
1359|* iot Aqr                          |SB*|22 06 26.2274193 -13 52 10.861454      | 3.91 | 4.20 | 4.27 | 4.32 | 4.41 |B8V                  | 105 |   0
1360|* tau Oph                          |** |18 03 04.91992 -08 10 49.2586          |     ~| 5.17 | 4.78 |     ~|     ~|F3IV                 |  90 |   0
1361|Cl Melotte 20 772                  |*  |03 27 58.9119523655 +49 01 10.301063952|     ~|     ~| 4.989|     ~|     ~|~                    |   2 |   0
1362|HD 167818                          |*  |18 18 03.1913601 -27 02 33.514873      |     ~| 6.265| 4.627|     ~|     ~|K3II                 |  47 |   0
1363|* alf Vol                          |** |09 02 26.7959209 -66 23 45.872743      |     ~| 4.144| 3.990|     ~|     ~|kA3hA5mA5V           |  99 |   1
1364|* iot Sgr                          |PM*|19 55 15.6969107 -41 52 05.838796      | 6.11 | 5.21 | 4.13 |     ~|     ~|K0II/III             |  73 |   0
1365|HD 56618                           |*  |07 16 34.9931455547 -27 52 52.245342396| 8.12 | 6.24 | 4.64 | 3.16 | 1.91 |M2III                |  34 |   0
1366|* gam Lup A                        |SB*|15 35 08.438791 -41 10 00.45102        |     ~| 3.30 | 3.48 |     ~|     ~|~                    |   4 |   0
1367|* p Pup                            |PM*|07 35 22.8936187606 -28 22 09.652924149| 4.13 | 4.52 | 4.63 |     ~|     ~|B7V                  |  58 |   0
1368|* nu. Cet                          |*  |02 35 52.4733897 +05 35 35.689846      |     ~| 5.742| 4.871|     ~|     ~|G8III                |  81 |   0
1369|* l Eri A                          |PM*|04 38 10.825021 -14 18 14.33935        |     ~| 5.03 | 3.89 |     ~|     ~|~                    |   2 |   0
1370|* bet01 Sco                        |SB*|16 05 26.2319826 -19 48 19.630018      | 1.68 | 2.55 | 2.62 | 2.60 | 2.69 |B1V                  | 533 |   0
1371|* rho Cyg                          |PM*|21 33 58.8529848 +45 35 30.617851      | 5.47 | 4.91 | 4.02 | 3.31 | 2.81 |G8IIIFe-0.5          | 183 |   0
1372|* sig Cyg                          |sg*|21 17 24.9524404 +39 23 40.852798      | 3.98 | 4.37 | 4.24 | 4.06 | 3.92 |A0Ia                 | 250 |   0
1373|* 134 Tau                          |*  |05 49 32.9297423 +12 39 04.758221      | 4.68 | 4.811| 4.875|     ~|     ~|B9IV                 | 178 |   0
1374|* ksi Cep A                        |SB*|22 03 47.4163917018 +64 37 40.633662975|     ~| 4.81 | 4.45 | 5.66 |     ~|kA2.5hF2mF2(IV)      | 169 |   0
1375|* bet UMi                          |V* |14 50 42.32580 +74 09 19.8142          | 5.32 | 3.55 | 2.08 | 0.97 | 0.21 |K4-III               | 303 |   0
1376|* alf CrB                          |Al*|15 34 41.26800 +26 42 52.8940          | 2.19 | 2.22 | 2.24 | 2.21 | 2.25 |A1IV                 | 456 |   0
1377|HD 28527                           |dS*|04 30 33.6330527888 +16 11 38.462112418|     ~| 4.975| 4.764| 6.52 |     ~|A6IV                 | 179 |   0
1378|* iot Psc                          |PM*|23 39 57.0413764 +05 37 34.647529      | 4.640| 4.620| 4.120| 3.68 | 3.37 |F7V                  | 581 |   0
1379|V* GZ Vel                          |LP*|10 19 36.7507384 -55 01 45.502292      |     ~| 6.146| 4.543|     ~|     ~|K2.5II               |  50 |   0
1380|* psi Sgr                          |SB*|19 15 32.4265759 -25 15 24.056854      |     ~| 5.41 | 4.85 |     ~|     ~|K0/1III+A/F          |  82 |   0
1381|* del Cyg                          |PM*|19 44 58.4785413 +45 07 50.916066      | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |A0IV                 | 278 |   0
1382|* bet Del                          |SB*|20 37 32.94130 +14 35 42.3195          | 4.16 | 4.07 | 3.63 | 3.23 | 2.99 |F5IV                 | 267 |   0
1383|* a Vel                            |*  |08 46 01.6439147 -46 02 29.504226      | 3.86 | 3.91 | 3.91 | 3.86 | 3.73 |A0II                 |  50 |   0
1384|* ksi01 Cen                        |*  |13 03 33.3064227562 -49 31 38.179902357|     ~| 4.844| 4.826|     ~|     ~|A0V                  |  36 |   0
1385|* eta Ind                          |dS*|20 44 02.3340423 -51 55 15.496981      |     ~| 4.767| 4.495|     ~|     ~|A9IV                 |  75 |   0
1386|* iot Ret                          |PM*|04 01 18.1516191 -61 04 43.755946      |     ~| 6.370| 4.956|     ~|     ~|K4III                |  21 |   0
1387|* tau02 Hya                        |*  |09 31 58.9252120278 -01 11 04.787177496|     ~| 4.644| 4.548|     ~|     ~|A2V                  |  60 |   0
1388|* rho Leo                          |s*b|10 32 48.6716770 +09 18 23.709445      | 2.780| 3.720| 3.870| 3.90 | 4.06 |B1Iab                | 511 |   0
1389|* f UMa                            |PM*|09 08 52.2576325 +51 36 16.732968      | 4.87 | 4.75 | 4.48 | 4.21 | 4.10 |kA3VmF5IIISr         | 141 |   0
1390|* gam Com                          |PM*|12 26 56.2720731 +28 16 06.321081      | 6.64 | 5.47 | 4.34 | 3.53 | 3.01 |K1IIIFe0.5           | 190 |   0
1391|* eps Aql                          |SB*|18 59 37.3616087625 +15 04 05.880705609| 6.14 | 5.10 | 4.02 | 3.26 | 2.74 |K1-IIICN0.5          | 178 |   0
1392|* gam Leo                          |** |10 19 58.35056 +19 50 29.3468          |     ~| 3.79 | 2.37 |     ~|     ~|K1-III+G7IIIb        |  70 |   0
1393|* phi01 Lup                        |PM*|15 21 48.3696659 -36 15 40.952469      |     ~| 5.076| 3.546|     ~|     ~|K4III                |  85 |   0
1394|HD 51799                           |V* |06 56 15.9899939 -48 43 16.125750      | 8.56 | 6.64 | 4.95 | 3.47 | 2.29 |M1III                |  31 |   0
1395|* 24 Cap                           |PM*|21 07 07.6673269 -25 00 21.079041      | 8.04 | 6.11 | 4.50 | 3.22 | 2.24 |M1-III               |  73 |   0
1396|* alf Dra                          |SB*|14 04 23.3499533 +64 22 33.061896      | 3.520| 3.640| 3.680|     ~|     ~|A0III                | 254 |   0
1397|HD 143009                          |*  |15 59 30.2663692 -41 44 39.969829      |     ~| 5.962| 4.984|     ~|     ~|K0II/III             |  33 |   0
1398|* tet Gru A                        |*  |23 06 52.7318043733 -43 31 13.273936618|     ~| 4.833| 4.401|     ~|     ~|~                    |   2 |   0
1399|* 72 Cyg                           |PM*|21 34 46.5857429139 +38 32 02.626714016| 6.99 | 5.99 | 4.91 | 4.09 | 3.55 |K0.5IIIFe0.5         | 170 |   0
1400|NAME NGC 5171 Group                |GrG|13 29 22.3 +11 47 31                   |     ~|     ~| 4.7  |     ~|     ~|~                    |  70 |   0
1401|* v Eri                            |*  |03 30 37.0582300 -05 04 30.523884      |     ~| 4.631| 4.725|     ~|     ~|B9III                |  79 |   0
1402|* d Oph                            |PM*|17 27 21.2757105 -29 52 01.326251      |     ~| 4.672| 4.269|     ~|     ~|F5III-IV             |  96 |   0
1403|* del Per                          |Be*|03 42 55.5042561 +47 47 15.174633      | 2.38 | 2.89 | 3.01 | 2.99 | 3.10 |B5III                | 303 |   0
1404|* nu. Aqr                          |PM*|21 09 35.6488810 -11 22 18.085110      | 6.13 | 5.46 | 4.52 | 3.83 | 3.37 |K0III                |  93 |   0
1405|* psi Cas                          |PM*|01 25 56.0223813 +68 07 48.045998      |     ~| 5.780| 4.727|     ~|     ~|K0III-IIIbCN0.5      |  91 |   0
1406|* 20 Tau                           |PM*|03 45 49.6065620 +24 22 03.886360      | 3.40 | 3.80 | 3.87 | 3.85 | 3.90 |B8III                | 399 |   1
1407|* zet Mon                          |*  |08 08 35.6466280 -02 59 01.636060      | 6.02 | 5.30 | 4.33 | 3.60 | 3.11 |G2Ib                 | 139 |   0
1408|* f Car                            |Be*|08 46 42.5492831 -56 46 11.192208      | 3.58 | 4.31 | 4.49 | 4.59 | 4.78 |B3V(n)               | 134 |   0
1409|* rho Oph                          |** |16 25 35.11766 -23 26 49.8150          | 4.30 | 4.85 | 4.63 | 4.27 | 3.96 |B2IV+B2V             | 612 |   2
1410|* alf Oph                          |** |17 34 56.06945 +12 33 36.1346          | 2.32 | 2.22 | 2.07 | 1.93 | 1.85 |A5IVnn               | 442 |   0
1411|* 10 UMa                           |SB*|09 00 38.38067 +41 46 58.6051          | 4.440| 4.390| 3.960| 3.57 | 3.35 |F3V+G5V              | 329 |   0
1412|* w Car                            |LP?|10 43 32.2901493 -60 33 59.830760      |     ~| 6.219| 4.545|     ~|     ~|K4III                |  43 |   0
1413|* eps Vol                          |SB*|08 07 55.7941540081 -68 37 01.428710438|     ~| 4.270| 4.398|     ~|     ~|B5III                |  61 |   0
1414|HD 92523                           |*  |10 43 04.0407893382 +69 04 34.374231110|     ~| 6.397| 4.992|     ~|     ~|K3III                |  85 |   0
1415|* A Cen                            |Be*|11 34 45.6558087 -54 15 50.732003      | 4.33 | 4.533| 4.607|     ~|     ~|B9V                  |  68 |   0
1416|* eps Dra                          |PM*|19 48 10.3497324219 +70 16 04.532866359|     ~| 4.83 | 3.91 |     ~|     ~|G7IIIbFe-1           | 138 |   0
1417|* zet Eri                          |SB*|03 15 50.0253691484 -08 49 11.026245623| 5.11 | 5.03 | 4.80 | 4.59 | 4.47 |kA4hA9mA9V           | 136 |   0
1418|* omi Aqr                          |Be*|22 03 18.8440292 -02 09 19.306758      | 4.22 | 4.64 | 4.69 | 4.70 | 4.74 |B7IVe                | 254 |   0
1419|* gam Ara                          |Be*|17 25 23.6593111 -56 22 39.814775      | 2.25 | 3.21 | 3.34 |     ~|     ~|B1Ib                 | 256 |   0
1420|* omi Leo                          |SB*|09 41 09.0330479 +09 53 32.310183      | 4.22 | 4.01 | 3.52 | 3.11 | 2.88 |F8-G0III+A7m         | 144 |   0
1421|* z Car                            |*  |11 06 32.4266751205 -62 25 26.811928851|     ~| 5.622| 4.606|     ~|     ~|G7.5III              |  43 |   0
1422|* 43 Eri                           |PM*|04 24 02.2089715734 -34 01 00.650471506| 7.25 | 5.45 | 3.96 | 2.79 | 1.96 |K3.5III              |  64 |   0
1423|* alf Lac                          |PM*|22 31 17.5013090 +50 16 56.968200      | 3.78 | 3.78 | 3.77 | 3.77 | 3.80 |A1V                  | 240 |   0
1424|* tet Lib                          |PM*|15 53 49.5380636 -16 43 45.458225      | 5.99 | 5.17 | 4.16 | 3.44 | 2.92 |G9IIIb               | 108 |   0
1425|* l Hya                            |** |14 28 10.42638 -29 29 29.8884          | 4.49 | 4.90 | 4.97 |     ~|     ~|B7/8V                |  55 |   0
1426|* pi.01 Cyg                        |SB*|21 42 05.6645818 +51 11 22.641518      | 3.86 | 4.55 | 4.66 |     ~|     ~|B3III                | 100 |   0
1427|* mu. Cyg                          |** |21 44 08.5776715592 +28 44 33.456730506|     ~| 4.97 | 4.50 | 5.99 |     ~|F6V+F3V              | 107 |   0
1428|* del Hor                          |** |04 10 50.5892738 -41 59 36.853749      | 5.33 | 5.26 | 4.93 | 4.58 | 4.37 |F2IV/V               |  72 |   0
1429|* w Pup                            |*  |08 21 23.0260280711 -33 03 15.707073605| 7.73 | 6.26 | 4.80 | 3.83 | 3.08 |K2+IIIa              |  65 |   0
1430|* o Tau                            |*  |05 27 38.0840639 +21 56 13.073806      | 3.98 | 4.719| 4.868|     ~|     ~|B2.5V                | 147 |   0
1431|* bet Ind                          |*  |20 54 48.6027789 -58 27 14.961814      | 6.13 | 4.90 | 3.65 |     ~|     ~|K1II                 |  67 |   0
